           1        7960
           2           4
           3        2503
           4          17
           5         200
           6        2313
           7        3801
           8         166
           9           3
          10           1
          11           1
          12           9
          13          11
          14           2
          15           1
          16           4
          17           1
          18           1
          19           1
          20           1
          21           1
          22           4
          23           1
          24           1
          25           1
          26        3255
          27           2
          28           1
          29           1
          30           9
          31          98
          32          19
          33           1
          34           8
          35         863
          36           1
          37           1
          38           1
          39         242
          40           1
          41           5
          42           1
          43           1
          44           3
          45          19
          46           1
          47           3
          48           1
          49           1
          50           1
          51        1533
          52           1
          53           1
          54          20
          55           1
          56           1
          57          17
          58         475
          59           2
          60           7
          61           2
          62           4
          63           1
          64           8
          65           1
          66         473
          67        1540
          68         272
          69          93
          70           1
          71           1
          72           1
          73           1
          74          55
          75         101
          76          18
          77           1
          78           1
          79           1
          80           2
          81           2
          82           9
          83          12
          84           1
          85           1
          86           1
          87           2
          88           1
          89           1
