           1           1         178
           6           0         178
           7           1         178
           8           0         178
          33           0         178
          44           0         178
          54           0         178
          55           0         178
          60           0         178
          80           0         178
          81           0         178
         114           0         178
         117           0         178
         120           0         178
         126           0         178
         130           0         178
         141           0         178
         148           0         178
