           1           1
           2          15
           3           2
           4           3
           5           2
           6           1
           7           6
           8           4
           9           1
          10          13
          11           1
          12           1
          13         347
          14           1
          15           9
          16           4
          17           3
          18          64
          19           2
          20         266
          21           1
          22           7
          23           7
          24           2
          25          35
          26           1
          27           1
          28           1
          29         250
          30           8
          31          30
          32           7
          33           1
          34          14
          35           1
          36          24
          37           5
          38           1
          39           1
          40           1
          41          16
          42           1
          43           3
          44           1
          45           1
          46           5
          47           1
          48           7
          49           2
          50           1
          51           1
          52           1
          53           1
          54          29
          55           1
          56           1
          57           7
          58           3
          59           1
          60           1
          61           1
          62         173
          63           1
          64           7
          65           1
          66          16
          67           6
          68         303
          69           2
          70           1
          71           2
          72           2
          73           1
          74           1
          75          10
          76           3
          77           1
          78           2
          79           1
          80           1
          81           1
          82           3
          83          85
          84           1
          85          45
          86           1
          87           1
          88           2
          89           1
          90           1
          91           3
          92          77
          93           1
          94           2
          95          82
          96           1
          97           1
          98           1
          99           1
         100           1
         101           1
         102           1
         103           2
         104           7
         105           4
         106           1
         107           1
         108           9
         109           1
         110           2
         111           6
         112           3
         113           1
         114           6
         115           1
         116           1
         117           1
         118           1
         119           1
         120           1
         121           1
