          82          31           1           1
          81          32           1           2
          80          33           1           2
          81          33           1           2
          82          33           1           2
          83          33           1           2
          83          34           1           2
          84          34           1           2
          85          34           1           2
          86          34           1           2
          87          34           1           2
          54          63           1           3
          55          63           1           3
          34          65           1           4
          35          65           1           4
          36          65           1           4
          30          80           1           5
          30          81           1           5
          33          84           1           6
          16         102           1           7
          63         102           1           8
          17         103           1           7
          16         104           1           7
          17         104           1           7
          64         105           1           9
           7          23           2          10
           7          24           2          10
          24          31           2          11
          81          33           2           2
          82          33           2           2
          87          35           2           2
          38          38           2          12
          97          43           2          13
          96          44           2          13
          97          44           2          13
          57          65           2          14
          33          83           2          15
          13          91           2          16
         103          91           2          17
          13          92           2          16
          13          93           2          16
          13          94           2          16
          99          98           2          18
         100          98           2          18
         101          98           2          18
          64         100           2           8
          64         101           2           8
          64         102           2           8
          17         104           2           7
          64         104           2          19
          17         105           2           7
         140           6           3          20
           6          23           3          10
           7          23           3          10
           7          24           3          10
           8          25           3          10
          23          31           3          21
          82          34           3           2
          82          35           3           2
          95          43           3          13
          97          43           3          13
          96          44           3          13
          97          44           3          13
          61          45           3          22
          96          45           3          13
          59          46           3          22
          33          82           3          15
          34          82           3          15
          34          83           3          15
          34          84           3          15
         104          90           3          17
         105          90           3          17
         102          92           3          18
          87          93           3          23
          97          95           3          18
          96          96           3          18
          97          96           3          18
          98          96           3          18
          99          97           3          18
         100          97           3          18
         101          97           3          18
          64         104           3          19
         120         128           3          24
         120         129           3          24
         140           6           4          20
           6          22           4          10
           6          23           4          10
           8          26           4          10
           8          27           4          10
          45          28           4          25
          46          29           4          25
          45          30           4          25
         103          35           4          13
          95          42           4          13
          95          43           4          13
          96          43           4          13
          97          43           4          13
          98          43           4          13
          95          44           4          13
          96          44           4          13
          97          44           4          13
          98          44           4          13
          95          45           4          13
          96          45           4          13
          59          46           4          22
          60          46           4          22
          61          46           4          22
          96          46           4          13
          60          47           4          22
          33          79           4          26
          33          81           4          15
          33          82           4          15
          34          83           4          15
          35          84           4          15
         102          93           4          18
          86          94           4          23
          87          94           4          23
          88          94           4          23
         101          94           4          18
          88          95           4          23
          99          95           4          18
         100          95           4          18
         101          95           4          18
          97          96           4          18
          98          96           4          18
          99          96           4          18
         100          96           4          18
         101          96           4          18
         101          97           4          18
          62         105           4          27
          61         106           4          28
           1           6           5          20
         140           6           5          20
           1           7           5          20
           2           7           5          20
         139           7           5          20
         140           7           5          20
         139           8           5          20
           6          20           5          29
           5          23           5          29
           9          27           5          10
          10          28           5          10
          11          29           5          10
          47          29           5          25
          46          30           5          25
          49          33           5          25
         102          35           5          13
         103          36           5          13
          96          42           5          13
          97          42           5          13
          98          42           5          13
          95          43           5          13
          96          43           5          13
          97          43           5          13
          98          43           5          13
          99          43           5          13
         100          43           5          13
         101          43           5          13
          82          44           5          30
          96          44           5          13
          97          44           5          13
          98          44           5          13
          99          44           5          13
         100          44           5          13
         101          44           5          13
          21          45           5          31
          82          45           5          30
          83          45           5          30
          96          45           5          13
          97          45           5          13
          98          45           5          13
          21          46           5          31
          61          46           5          22
          18          50           5          31
          19          50           5          31
          81          83           5          32
          82          83           5          32
          83          83           5          32
          84          83           5          32
          81          84           5          32
         106          90           5          18
         106          91           5          18
          88          94           5          23
         102          94           5          18
          88          95           5          23
         100          95           5          18
         101          95           5          18
          98          96           5          18
         101          96           5          18
         140           3           6          20
           1           4           6          20
         139           4           6          20
         140           4           6          20
         139           5           6          20
         140           5           6          20
         139           6           6          20
         140           6           6          20
         138           7           6          20
         139           7           6          20
         140           7           6          20
           1           8           6          20
         139           8           6          20
         140           8           6          20
           1           9           6          20
           2           9           6          20
         140           9           6          20
          92          15           6          33
           5          19           6          29
           6          19           6          29
           5          20           6          29
           6          20           6          29
           5          22           6          29
           4          23           6          29
           5          23           6          29
           6          24           6          29
          48          29           6          25
          47          30           6          25
          49          30           6          25
          48          31           6          25
          49          32           6          25
          50          32           6          25
